Year,Lek,Sampled
1969,BR1,0
1970,BR1,0
1971,BR1,0
1972,BR1,0
1973,BR1,0
1974,BR1,0
1975,BR1,0
1976,BR1,0
1977,BR1,0
1978,BR1,0
1979,BR1,0
1980,BR1,0
1981,BR1,0
1982,BR1,0
1983,BR1,0
1984,BR1,0
1985,BR1,0
1986,BR1,0
1987,BR1,0
1988,BR1,0
1989,BR1,0
1990,BR1,0
1991,BR1,0
1992,BR1,0
1993,BR1,0
1994,BR1,0
1995,BR1,0
1996,BR1,0
1997,BR1,0
1998,BR1,0
1999,BR1,0
2000,BR1,0
2001,BR1,0
2002,BR1,0
2003,BR1,0
2004,BR1,0
2005,BR1,0
2006,BR1,0
2007,BR1,0
2008,BR1,0
2009,BR1,0
2010,BR1,0
2011,BR1,0
2012,BR1,1
2013,BR1,1
2014,BR1,1
2015,BR1,0
2016,BR1,0
2017,BR1,0
2018,BR1,0
2019,BR1,0
1969,TR1,0
1970,TR1,0
1971,TR1,0
1972,TR1,0
1973,TR1,0
1974,TR1,0
1975,TR1,0
1976,TR1,0
1977,TR1,0
1978,TR1,0
1979,TR1,0
1980,TR1,0
1981,TR1,0
1982,TR1,0
1983,TR1,0
1984,TR1,0
1985,TR1,0
1986,TR1,0
1987,TR1,0
1988,TR1,0
1989,TR1,0
1990,TR1,0
1991,TR1,0
1992,TR1,0
1993,TR1,0
1994,TR1,0
1995,TR1,0
1996,TR1,0
1997,TR1,0
1998,TR1,0
1999,TR1,0
2000,TR1,0
2001,TR1,0
2002,TR1,0
2003,TR1,0
2004,TR1,0
2005,TR1,0
2006,TR1,0
2007,TR1,1
2008,TR1,0
2009,TR1,1
2010,TR1,1
2011,TR1,1
2012,TR1,1
2013,TR1,1
2014,TR1,1
2015,TR1,0
2016,TR1,0
2017,TR1,0
2018,TR1,0
2019,TR1,0
1969,HC1,0
1970,HC1,0
1971,HC1,0
1972,HC1,0
1973,HC1,0
1974,HC1,0
1975,HC1,0
1976,HC1,0
1977,HC1,0
1978,HC1,0
1979,HC1,0
1980,HC1,0
1981,HC1,0
1982,HC1,0
1983,HC1,0
1984,HC1,0
1985,HC1,0
1986,HC1,0
1987,HC1,0
1988,HC1,0
1989,HC1,0
1990,HC1,0
1991,HC1,1
1992,HC1,1
1993,HC1,1
1994,HC1,1
1995,HC1,1
1996,HC1,1
1997,HC1,1
1998,HC1,0
1999,HC1,0
2000,HC1,0
2001,HC1,0
2002,HC1,0
2003,HC1,0
2004,HC1,0
2005,HC1,0
2006,HC1,0
2007,HC1,0
2008,HC1,0
2009,HC1,0
2010,HC1,0
2011,HC1,1
2012,HC1,1
2013,HC1,1
2014,HC1,0
2015,HC1,0
2016,HC1,0
2017,HC1,0
2018,HC1,0
2019,HC1,0
1969,CCE,1
1970,CCE,1
1971,CCE,1
1972,CCE,0
1973,CCE,0
1974,CCE,0
1975,CCE,0
1976,CCE,0
1977,CCE,0
1978,CCE,0
1979,CCE,0
1980,CCE,0
1981,CCE,0
1982,CCE,1
1983,CCE,1
1984,CCE,1
1985,CCE,1
1986,CCE,1
1987,CCE,1
1988,CCE,1
1989,CCE,1
1990,CCE,0
1991,CCE,0
1992,CCE,0
1993,CCE,0
1994,CCE,0
1995,CCE,0
1996,CCE,0
1997,CCE,0
1998,CCE,0
1999,CCE,0
2000,CCE,0
2001,CCE,0
2002,CCE,0
2003,CCE,0
2004,CCE,0
2005,CCE,0
2006,CCE,0
2007,CCE,0
2008,CCE,1
2009,CCE,1
2010,CCE,1
2011,CCE,1
2012,CCE,1
2013,CCE,1
2014,CCE,1
2015,CCE,0
2016,CCE,0
2017,CCE,0
2018,CCE,1
2019,CCE,0
1969,SUR,1
1970,SUR,1
1971,SUR,1
1972,SUR,1
1973,SUR,0
1974,SUR,0
1975,SUR,0
1976,SUR,0
1977,SUR,0
1978,SUR,0
1979,SUR,0
1980,SUR,0
1981,SUR,1
1982,SUR,1
1983,SUR,1
1984,SUR,1
1985,SUR,1
1986,SUR,1
1987,SUR,1
1988,SUR,1
1989,SUR,1
1990,SUR,0
1991,SUR,0
1992,SUR,0
1993,SUR,0
1994,SUR,0
1995,SUR,0
1996,SUR,0
1997,SUR,0
1998,SUR,0
1999,SUR,0
2000,SUR,0
2001,SUR,0
2002,SUR,0
2003,SUR,0
2004,SUR,0
2005,SUR,0
2006,SUR,0
2007,SUR,0
2008,SUR,1
2009,SUR,1
2010,SUR,1
2011,SUR,1
2012,SUR,1
2013,SUR,1
2014,SUR,1
2015,SUR,1
2016,SUR,1
2017,SUR,1
2018,SUR,1
2019,SUR,1
