"","lek","gaps","convg","cost.type","use.old.fossils"
"1","SUR",29,"N","optimal","old"
"2","SUR",24,"Y","optimal","new"
"3","BR1",24,"Y","optimal","new"
"4","TR1",26,"Y","optimal","new"
"5","SUR",18,"Y","optimal","no.fossils"
"6","BR1",7,"Y","optimal","no.fossils"
"7","TR1",26,"Y","optimal","no.fossils"
"8","SUR",38,"Y","all.equal","old"
"9","SUR",40,"Y","all.equal","new"
"10","BR1",28,"Y","all.equal","new"
"11","TR1",35,"Y","all.equal","new"
"12","SUR",19,"Y","all.equal","no.fossils"
"13","BR1",17,"Y","all.equal","no.fossils"
"14","TR1",40,"Y","all.equal","no.fossils"
